微博id,微博正文,头条文章url,原始图片url,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
IwrP3CXrb,考考你，新冠肺炎，是念“新guān”，还是“新guàn”？ 你会念___？  ,,无,无,无,2020-02-29 15:59,无,5055,21,72
IwrohymK1,【粉了这对#蛋黄苏cp#！】在黄石市妇幼保健院，隔离病房里的患者有不少是小朋友。为了拉近与小朋友的距离，来自江苏省老年病医院的护士蔡崔春在防护服上画上了几颗“蛋黄酥”#江苏护士防护服画蛋黄酥#  原图 ,,http://wx3.sinaimg.cn/large/7cfe0d62ly1gcd9yv60s1j20hs0e2gmy.jpg,无,无,2020-02-29 14:53,无,113,4,69
IwqUogkrc,【逃犯藏衣橱被民警发现，逃犯：警察同志你好】疫情当前，蜀黍依旧奋战在追逃的第一线！江宁公安分局东山派出所民警根据线索指引，来到一名逃犯家中搜寻，发现卧室虽然关着灯，但有一台电脑却亮着，于是大胆判断嫌疑人藏在家中。打开卧室衣柜时，戏剧化的一幕发生了……平安南京的微博视频  ,,无,无,无,2020-02-29 13:40,微博视频号,100,17,30
Iwqtk8aKR,今天是2月的最后一天，四年一度的2月29日。你怎么过？#四年一度的2月29来了#  原图 ,,http://wx1.sinaimg.cn/large/7cfe0d62ly1gcd5ww21saj20j60fnmyi.jpg,无,无,2020-02-29 12:33,无,88,18,86
Iwq8YobiI,【南京：继续推迟学生返校，继续开展线上教学】据市教育局，全市幼儿园和义务教育学校继续按照“一区一策”的原则，由各区教育部门对线上教学活动进行统一管理和指导；高中阶段学校按照“一校一案”的原则，开展线上教学。同时，要严格控制作业量和幼儿观看视频时间。 南京：继续推迟学生返校，继续开展线上教学  ,,无,无,无,2020-02-29 11:43,微博 weibo.com,166,84,66
IwpDJ7zxV,【#江苏继续推迟学生返校#】据江苏教育发布，全省各级各类学校（高校、中小学、中职学校、幼儿园、托育机构）继续推迟学生返校。各级各类学校按照省教育厅有关要求，规范开展线上教育教学活动。严禁培训机构在学生返校前开展线下培训活动。具体返校时间，将视疫情防控情况，提前一周向社会公布。  原图 ,,http://wx1.sinaimg.cn/large/7cfe0d62gy1gcd28h5nsvj20fe08sq2z.jpg,无,无,2020-02-29 10:26,微博 weibo.com,929,405,250
Iwponoe1Z,点赞这个零更新，疫情通报每一天都是零  原图 ,,http://wx2.sinaimg.cn/large/7cfe0d62ly1gcd147yx7wj20hs0o0jt4.jpg,无,无,2020-02-29 09:48,无,1431,120,210
IwpfhyIeo,南京市连续十日无新增确诊病例！ 2月28日南京市无新增确诊病例  ,,无,无,无,2020-02-29 09:26,微博 weibo.com,536,56,183
IwoBo19dG,雨花台宝华玉兰开了，养眼系壁纸送上！摄：张健 #最南京，全民拍#  [组图共9张] 原图 ,,"http://ww2.sinaimg.cn/large/7cfe0d62ly1gccxnmnttvj20u01hcwnz.jpg,http://ww3.sinaimg.cn/large/7cfe0d62ly1gccxnmys4pj20u01hcn2p.jpg,http://ww3.sinaimg.cn/large/7cfe0d62ly1gccxnn9328j20u01hcah3.jpg,http://ww2.sinaimg.cn/large/7cfe0d62ly1gccxnnigjwj20u01hcdk2.jpg,http://ww1.sinaimg.cn/large/7cfe0d62ly1gccxnnso2gj20u01hc7eo.jpg,http://ww4.sinaimg.cn/large/7cfe0d62ly1gccxnodr77j20u01hcgtj.jpg,http://ww2.sinaimg.cn/large/7cfe0d62ly1gccxnopf3lj20u01hcagu.jpg,http://ww3.sinaimg.cn/large/7cfe0d62ly1gccxnp09wpj20u01hcn3g.jpg,http://ww3.sinaimg.cn/large/7cfe0d62ly1gccxnm5oh7j20u01hcte0.jpg",无,无,2020-02-29 07:47,无,330,110,44
IwkMg4v6n,近日，一组温暖又治愈的漫画《槑好青年，出列》走红。抗疫的日子里，南京阿槑暂停了搞笑的日常生活，戴上口罩，变身成为奋战一线的快递小哥、社区志愿者和出租车司机他用自己二次元的方式普及抗疫知识，传递真情和希望，为“战疫”生活留下了一抹温情的色调。戳这里↓↓看漫画背后的故事～ http://t.cn/A67qEmdr ,,无,无,无,2020-02-28 22:03,微博 weibo.com,37,52,10
